z_threshold,precision,recall,f1,fpr
2.0,0.12071948287880577,0.6979995304335271,0.18250436812943996,0.33002792580933
2.5,0.1411965674471681,0.683926483252893,0.2091712488081698,0.25009715446708053
3.0,0.15862934845782636,0.6275285128834327,0.22208772516380454,0.1986583771693201
3.5,0.18491353194539253,0.5787466978800175,0.23882105118414002,0.1724090338891435
4.0,0.19409511770725998,0.5673193734671418,0.2448895403548538,0.1620414539435285
