variant,n_cases,anomaly_rate_mean,anomaly_rate_std,anomaly_rate_median,anomaly_rate_q25,anomaly_rate_q75,isolated_fraction_mean,isolated_fraction_std,isolated_fraction_median,isolated_fraction_q25,isolated_fraction_q75,mean_cluster_len_mean,mean_cluster_len_std,mean_cluster_len_median,mean_cluster_len_q25,mean_cluster_len_q75,score_mean_mean,score_mean_std,score_mean_median,score_mean_q25,score_mean_q75,score_std_mean,score_std_std,score_std_median,score_std_q25,score_std_q75,n_retrain_events_mean,n_retrain_events_std,n_retrain_events_median,n_retrain_events_q25,n_retrain_events_q75
IF_Only,15,0.11180241915732446,0.19651747472439562,0.0452418096723869,0.023868026977496244,0.06988370834702728,0.2663297618913561,0.1541714077223567,0.25,0.1392914653784219,0.3979301948051948,4.239961180124223,2.1913741336101955,3.5,3.05,4.885869565217391,0.48965888214901504,0.0325841049702726,0.47383109811456103,0.4647087224280245,0.509649008144019,0.045776296929162436,0.010660292840293035,0.04411844054447169,0.039947002871102505,0.04959913235568267,0.0,0.0,0.0,0.0,0.0
No_CL,15,0.048914534624926856,0.10577860486671092,0.024955436720142603,0.012857944967492608,0.03616356915404613,0.2711077441077441,0.24392324103265955,0.2727272727272727,0.15944444444444444,0.3642857142857143,3.2023352573352573,2.356876913821254,2.7333333333333334,2.0714285714285716,3.4875,0.4511014432534502,0.028317239944599056,0.4530535056990066,0.4348537895155229,0.46615964142335986,0.04404877382811936,0.008946846617843908,0.04443353279561046,0.039654941189741735,0.049225851235251646,0.0,0.0,0.0,0.0,0.0
Full_Drift,15,0.07177191375695827,0.10783963653624991,0.03805774278215223,0.025018079123153958,0.07787315110337192,0.2570368794340006,0.14872676124951456,0.22857142857142856,0.19047619047619047,0.3875,4.204626789899661,3.624768255117515,3.2222222222222223,2.4627996164908916,4.467948717948718,0.44766927066121853,0.02622016144788406,0.450397117369257,0.4332797133874855,0.4614328418154202,0.04356621560815894,0.009217705205167305,0.04443281981088268,0.03731867114606211,0.04971701676064435,1.8,1.820517979665599,1.0,1.0,2.0
Full_Anomaly,15,0.061110849637995165,0.10679554761594828,0.032245222929936306,0.017689316970393037,0.05159366306756566,0.24188456955711177,0.2512949624116375,0.21875,0.05,0.32456140350877194,4.149554349710755,3.671543570787635,3.1875,2.4642857142857144,3.9815789473684213,0.44902700546680935,0.02622684956934859,0.4512518398594191,0.43123973026385387,0.46450146644143964,0.043622421366075095,0.008752613082685042,0.04440566723591594,0.038277764935317204,0.04728456470823899,0.9333333333333333,0.5936168397046636,1.0,1.0,1.0
Full_Both,15,0.05931501818271382,0.10717047481816584,0.032245222929936306,0.013478108677552092,0.04201282474421236,0.24589851857106076,0.25223704426670945,0.2222222222222222,0.05,0.32456140350877194,4.051908847065252,3.712637450928788,3.1875,2.3119047619047617,3.9815789473684213,0.44880981591351543,0.02619348151720794,0.450397117369257,0.43123973026385387,0.4643231295950721,0.04368675171018887,0.008365637522245558,0.04429877689770191,0.038612444143018766,0.04729582985447274,0.8,0.5606119105813882,1.0,0.5,1.0
