event_type,n_cases,precision,recall,f1,fpr
desaturation,15,0.11388343934588459,0.1860770808139229,0.09608627889755841,0.05793439586046665
tachycardia,6,0.009422413160020562,0.37121212121212127,0.01785965428140821,0.09980369189155551
hypotension,9,0.07207708125615002,0.04627640529896168,0.03488901849578599,0.07761193918018879
bradycardia,4,0.012254901960784314,0.08928571428571429,0.021551724137931036,0.06084658747308617
